correct_word,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,morpheme_breakdown,common_typos,typo_patterns,correction_rules,phonetic_rules,error_categories
छवि,छव,छवि,छवि,छवि,छवि,छवि,छ+व+इ,"[""छवि्"",""छवी"",""छवि"",""छवहि"",""छविह"",""छवी"",""छवि""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""vowel_length"",""consonant_swap""]","[""halant_error"",""consonant_insertion""]","[""i→iː"",""ʋ→ʋ"",""tʃʰ→tʃʰ""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
छहारी,छहा,छहार,छहारी,छहारी,छहारी,छहारी,छ+ह+आ+र+ई,"[""छहारी्"",""छहारी"",""छहारीह"",""छहारी"",""छहाहरी"",""छहारीह"",""छहारी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""a→aː"",""ɦ→ɦ"",""i→iː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
छाता,छा,छात,छाता,छाता,छाता,छाता,छ+आ+त+आ,"[""छाता्"",""छाता"",""छाताह"",""छाता"",""छाता"",""छाताह"",""छाटा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""त→ट"",""vowel_repeat""]","[""nasal_confusion"",""halant_error""]","[""a→aː"",""t̪→ʈ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
छायाँ,छा,छाय,छाया,छायाँ,छायाँ,छायाँ,छ+आ+य+ँ,"[""छायां"",""छायाँ्"",""छायाँ"",""छायाहाँ"",""छायाँह"",""छायां"",""छायाँ""]","[""ँ→ं"",""add_halant"",""insert_consonant"",""suffix_addition"",""nasal_confusion"",""consonant_swap""]","[""halant_error"",""consonant_insertion""]","[""a→aː"",""j→j"",""a→aː""]","[""nasal_substitution"",""consonant_insertion"",""epenthesis""]"
छिमेकी,छि,छिम,छिमे,छिमेक,छिमेकी,छिमेकी,छ+इ+म+ए+क+ई,"[""छिमेकी्"",""छिमेकी"",""छिमेकीह"",""छिमेकी"",""छिमेहकी"",""छिमेकीह"",""छिमेकी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""vowel_insertion""]","[""i→i"",""e→e"",""k→k""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
जगत्,जग,जगत्,जगत्,जगत्,जगत्,जगत्,ज+ग+त्,"[""जगत"",""जगत्"",""जगात"",""जगत"",""जगहत"",""जगतह"",""जगत""]","[""remove_halant"",""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""vowel_elongation""]","[""halant_error"",""retroflex_error""]","[""ɡ→ɡ"",""t̪→t̪"",""dʒ→dʒ""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
जनता,जन,जनता,जनता,जनता,जनता,जनता,ज+न+त+आ,"[""जनता्"",""जनता"",""जनताह"",""जनता"",""जनहता"",""जनताह"",""जनटा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""त→ट"",""vowel_repeat""]","[""halant_error"",""vowel_length""]","[""n→n"",""t̪→ʈ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
जमिन,जम,जमि,जमिन,जमिन,जमिन,जमिन,ज+म+इ+न,"[""जमिन्"",""जमीन"",""जमिन"",""जमहिन"",""जमिनह"",""जमीन"",""जमिण""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_length""]","[""halant_error"",""retroflex_error""]","[""i→iː"",""m→m"",""n→ɳ""]","[""vowel_length_errors"",""consonant_insertion"",""retroflex_error""]"
जमुना,जम,जमु,जमुन,जमुना,जमुना,जमुना,ज+म+उ+न+आ,"[""जमुना्"",""जमुना"",""जमुनाह"",""जमुना"",""जमुहना"",""जमुनाह"",""जमुणा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""न→ण"",""vowel_repeat""]","[""halant_error"",""consonant_insertion""]","[""u→u"",""n→ɳ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
जरायो,जर,जरा,जराय,जरायो,जरायो,जरायो,ज+र+आ+य+ओ,"[""जरायो्"",""जरायो"",""जरायोह"",""जरायो"",""जराहयो"",""जरायोह"",""जरायो""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""lateral_confusion""]","[""a→aː"",""ɾ→ɾ"",""o→o""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
जल,जल,जल,जल,जल,जल,जल,ज+ल,"[""जल्"",""जल"",""जाल"",""जल"",""जहल"",""जलह"",""जळ""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""ल→ळ"",""vowel_elongation""]","[""halant_error"",""vowel_addition""]","[""l→l"",""dʒ→dʒ"",""a→aː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_elongation""]"
जहाज,जह,जहा,जहाज,जहाज,जहाज,जहाज,ज+ह+आ+ज,"[""जहाज्"",""जहाज"",""जहाजा"",""जहाज"",""जहाहज"",""जहाजह"",""जहाज""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""vowel_length""]","[""a→aː"",""ɦ→ɦ"",""dʒ→dʒ""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
जागृति,जा,जाग,जागृ,जागृत,जागृति,जागृति,ज+आ+ग+ऋ+त+इ,"[""जागृति्"",""जागृती"",""जागृति"",""जागृहति"",""जागृतिह"",""जागृती"",""जागृति""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""vowel_length"",""consonant_swap""]","[""halant_error"",""retroflex_error""]","[""a→aː"",""ɹ→ɹ"",""i→iː""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
जाती,जा,जात,जाती,जाती,जाती,जाती,ज+आ+त+ई,"[""जाती्"",""जाती"",""जातीह"",""जाती"",""जाती"",""जातीह"",""जाटी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""त→ट"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""a→aː"",""t̪→ʈ"",""i→iː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
जीवन,जी,जीव,जीवन,जीवन,जीवन,जीवन,ज+ई+व+न,"[""जीवन्"",""जीवन"",""जीवान"",""जीवन"",""जीवहन"",""जीवनह"",""जीवण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_elongation""]","[""halant_error"",""lateral_confusion""]","[""iː→iː"",""ʋ→ʋ"",""n→ɳ""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_elongation""]"
जुनेली,जु,जुन,जुने,जुनेली,जुनेली,जुनेली,ज+उ+न+ए+ल+ई,"[""जुनेली्"",""जुनेली"",""जुनेलीह"",""जुनेली"",""जुनेहली"",""जुनेलीह"",""जुनेळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""lateral_confusion""]","[""u→u"",""e→e"",""l→ɭ""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
जुरेली,जु,जुर,जुरे,जुरेल,जुरेली,जुरेली,ज+उ+र+ए+ल+ई,"[""जुरेली्"",""जुरेली"",""जुरेलीह"",""जुरेली"",""जुरेहली"",""जुरेलीह"",""जुरेळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""consonant_insertion""]","[""u→u"",""e→e"",""l→ɭ""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
जुही,जु,जुह,जुही,जुही,जुही,जुही,ज+उ+ह+ई,"[""जुही्"",""जुही"",""जुहीह"",""जुही"",""जुही"",""जुहीह"",""जुही""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat"",""consonant_repeat""]","[""halant_error"",""consonant_insertion""]","[""u→u"",""ɦ→ɦ"",""i→iː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
जोर,जो,जोर,जोर,जोर,जोर,जोर,ज+ओ+र,"[""जोर्"",""जोर"",""जोर"",""जोहर"",""जोरह"",""जोर"",""जोर""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""o→o"",""ɾ→ɾ"",""dʒ→dʒ""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
ज्ञान,ज्ञा,ज्ञान,ज्ञान,ज्ञान,ज्ञान,ज्ञान,ज्+ञ+आ+न,"[""ज्ञान्"",""ज्ञान"",""ज्ञाना"",""ज्ञान"",""ज्ञाहान"",""ज्ञानह"",""ज्ञाण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""a→aː"",""ɲ→ɲ"",""n→ɳ""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
ज्योति,ज्य,ज्यो,ज्योत,ज्योति,ज्योति,ज्योति,ज्+य+ओ+त+इ,"[""ज्योति्"",""ज्योती"",""ज्योति"",""ज्योहति"",""ज्योतिह"",""ज्योती"",""ज्योटि""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""त→ट"",""vowel_length""]","[""halant_error"",""retroflex_error""]","[""o→o"",""t̪→ʈ"",""i→iː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_length_errors""]"
झरना,झर,झरन,झरना,झरना,झरना,झरना,झ+र+न+आ,"[""झरना्"",""झरना"",""झरनाह"",""झरना"",""झरहना"",""झरनाह"",""झरणा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""न→ण"",""vowel_repeat""]","[""halant_error"",""vowel_insertion""]","[""ɾ→ɾ"",""n→ɳ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
झलक,झल,झलक,झलक,झलक,झलक,झलक,झ+ल+क,"[""झलक्"",""झलक"",""झलाक"",""झलक"",""झलहक"",""झलकह"",""झल्क""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_cluster"",""vowel_elongation""]","[""halant_error"",""lateral_confusion""]","[""l→l"",""k→k"",""dʒʱ→dʒʱ""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
डबली,डब,डबल,डबली,डबली,डबली,डबली,ड+ब+ल+ई,"[""डबली्"",""डबली"",""डबलीह"",""डबली"",""डबहली"",""डबलीह"",""डबळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""nasal_confusion"",""halant_error""]","[""b→b"",""l→ɭ"",""i→iː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
डाँफे,डा,डाँ,डाँफ,डाँफे,डाँफे,डाँफे,ड+ँ+फ+ए,"[""डांफे"",""डाँफे्"",""डाँफे"",""डाँहफे"",""डाँफेह"",""डांफे"",""डाँफे""]","[""ँ→ं"",""add_halant"",""insert_consonant"",""suffix_addition"",""nasal_confusion"",""consonant_swap""]","[""halant_error"",""lateral_confusion""]","[""a→aː"",""pʰ→pʰ"",""e→e""]","[""nasal_substitution"",""consonant_insertion"",""epenthesis""]"
डाली,डा,डाल,डाली,डाली,डाली,डाली,ड+आ+ल+ई,"[""डाली्"",""डाली"",""डालीह"",""डाली"",""डाली"",""डालीह"",""डाळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""consonant_insertion""]","[""a→aː"",""l→ɭ"",""i→iː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
ढोका,ढो,ढोका,ढोका,ढोका,ढोका,ढोका,ढ+ओ+क+आ,"[""ढोका्"",""ढोका"",""ढोकाह"",""ढोका"",""ढोहका"",""ढोकाह"",""ढोका""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""consonant_cluster""]","[""o→o"",""k→k"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
तक्मा,तक्,तक्म,तक्मा,तक्मा,तक्मा,तक्मा,त+क्+म+आ,"[""तक्मा्"",""तक्मा"",""तक्माह"",""तक्मा"",""तक्हमा"",""तक्माह"",""तक्मा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_cluster"",""vowel_repeat""]","[""halant_error"",""consonant_cluster""]","[""k→k"",""m→m"",""a→aː""]","[""cluster_errors"",""consonant_insertion"",""vowel_repetition""]"
तथ्य,तथ्,तथ्य,तथ्य,तथ्य,तथ्य,तथ्य,त+थ्+य,"[""तथ्य्"",""तथ्य"",""तथ्य"",""तथ्ह्य"",""तथ्यह"",""तथ्य"",""तथ्य""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_cluster"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""t̪ʰ→t̪ʰ"",""j→j"",""t̪→t̪""]","[""cluster_errors"",""consonant_insertion"",""vowel_repetition""]"
तपन,तप,तपन,तपन,तपन,तपन,तपन,त+प+न,"[""तपन्"",""तपन"",""तपान"",""तपन"",""तपहन"",""तपनह"",""तपण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_elongation""]","[""halant_error"",""lateral_confusion""]","[""p→p"",""n→ɳ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_elongation""]"
तबला,तब,तबला,तबला,तबला,तबला,तबला,त+ब+ल+आ,"[""तबला्"",""तबला"",""तबलाह"",""तबला"",""तबहला"",""तबलाह"",""तबळा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""lateral_confusion""]","[""b→b"",""l→ɭ"",""a→aː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
तरल,तर,तरल,तरल,तरल,तरल,तरल,त+र+ल,"[""तरल्"",""तरल"",""तराल"",""तरल"",""तरहल"",""तरलह"",""तरळ""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""ल→ळ"",""vowel_elongation""]","[""halant_error"",""vowel_length""]","[""ɾ→ɾ"",""l→ɭ"",""a→aː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_elongation""]"
तराजु,तर,तरा,तराज,तराजु,तराजु,तराजु,त+र+आ+ज+उ,"[""तराजु्"",""तराजू"",""तराजु"",""तराहजु"",""तराजुह"",""तराजू"",""तराजु""]","[""add_halant"",""उ→ऊ"",""insert_consonant"",""suffix_addition"",""vowel_length"",""consonant_swap""]","[""halant_error"",""lateral_confusion""]","[""a→aː"",""dʒ→dʒ"",""u→uː""]","[""vowel_length_errors"",""consonant_insertion"",""epenthesis""]"
तरेली,तर,तरे,तरेल,तरेली,तरेली,तरेली,त+र+ए+ल+ई,"[""तरेली्"",""तरेली"",""तरेलीह"",""तरेली"",""तरेहली"",""तरेलीह"",""तरेळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""consonant_insertion""]","[""e→e"",""l→ɭ"",""i→iː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
तलैया,तल,तलै,तलैय,तलैया,तलैया,तलैया,त+ल+ऐ+य+आ,"[""तलैया्"",""तलैया"",""तलैयाह"",""तलैया"",""तलैहया"",""तलैयाह"",""तलैया""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""consonant_insertion""]","[""l→l"",""ɛ→ɛ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
तारा,ता,तार,तारा,तारा,तारा,तारा,त+आ+र+आ,"[""तारा्"",""तारा"",""ताराह"",""तारा"",""तारा"",""ताराह"",""तारा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat"",""consonant_repeat""]","[""halant_error"",""lateral_confusion""]","[""a→aː"",""ɾ→ɾ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
ताली,ता,ताल,ताली,ताली,ताली,ताली,त+आ+ल+ई,"[""ताली्"",""ताली"",""तालीह"",""ताली"",""ताली"",""तालीह"",""ताळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""consonant_cluster""]","[""a→aː"",""l→ɭ"",""i→iː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
तिर्सना,ति,तिर्,तिर्स,तिर्सन,तिर्सना,तिर्सना,त+इ+र्+स+न+आ,"[""तिर्सना्"",""तिरसना"",""तिर्सना"",""तिर्ह्सना"",""तिर्सनाह"",""तिरसना"",""तिर्सणा""]","[""add_halant"",""र्स→रस"",""insert_consonant"",""suffix_addition"",""न→ण"",""consonant_cluster""]","[""halant_error"",""consonant_insertion""]","[""i→i"",""s→s"",""n→ɳ""]","[""cluster_errors"",""consonant_insertion"",""retroflex_error""]"
तेज,ते,तेज,तेज,तेज,तेज,तेज,त+ए+ज,"[""तेज्"",""तेज"",""तेज"",""तेहज"",""तेजह"",""तेज"",""तेज""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""nasal_confusion""]","[""e→e"",""dʒ→dʒ"",""t̪→t̪""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
तोरण,तो,तोर,तोरण,तोरण,तोरण,तोरण,त+ओ+र+ण,"[""तोरण्"",""तोरण"",""तोराण"",""तोरण"",""तोरहण"",""तोरणह"",""तोरं""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""ण→ं"",""vowel_elongation""]","[""halant_error"",""nasal_confusion""]","[""o→o"",""ɾ→ɾ"",""ɳ→ŋ""]","[""nasal_substitution"",""consonant_insertion"",""vowel_elongation""]"
त्रिकोण,त्रिक,त्रिको,त्रिकोण,त्रिकोण,त्रिकोण,त्रिकोण,त्+र+इ+क+ओ+ण,"[""त्रिकोण्"",""त्रिकोण"",""त्रिकोण"",""त्रिकोहण"",""त्रिकोणह"",""त्रिकोण"",""त्रिकों""]","[""add_halant"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""ण→ं"",""consonant_cluster""]","[""halant_error"",""lateral_confusion""]","[""i→i"",""o→o"",""ɳ→ŋ""]","[""nasal_substitution"",""consonant_insertion"",""cluster_errors""]"
थलो,थल,थलो,थलो,थलो,थलो,थलो,थ+ल+ओ,"[""थलो्"",""थलो"",""थलो"",""थहलो"",""थलोह"",""थलो"",""थळो""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""lateral_confusion""]","[""l→ɭ"",""o→o"",""t̪ʰ→t̪ʰ""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
थाली,था,थाल,थाली,थाली,थाली,थाली,थ+आ+ल+ई,"[""थाली्"",""थाली"",""थालीह"",""थाली"",""थाली"",""थालीह"",""थाळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ल→ळ"",""vowel_repeat""]","[""nasal_confusion"",""halant_error""]","[""a→aː"",""l→ɭ"",""i→iː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
थुँगो,थु,थुँ,थुँग,थुँगो,थुँगो,थुँगो,थ+उ+ँ+ग+ओ,"[""थुंगो"",""थुँगो्"",""थुँगो"",""थुँहगो"",""थुँगोह"",""थुंगो"",""थुँगो""]","[""ँ→ं"",""add_halant"",""insert_consonant"",""suffix_addition"",""nasal_confusion"",""consonant_swap""]","[""halant_error"",""lateral_confusion""]","[""u→u"",""ɡ→ɡ"",""o→o""]","[""nasal_substitution"",""consonant_insertion"",""epenthesis""]"
थैली,थै,थैल,थैली,थैली,थैली,थैली,थ+ऐ+ल+ई,"[""थैली्"",""थैली"",""थैलीह"",""थैली"",""थैली"",""थैलीह"",""थैळी""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""ɛ→ɛ"",""l→ɭ"",""i→iː""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
दर्पण,दर्,दर्प,दर्पण,दर्पण,दर्पण,दर्पण,द+र्+प+ण,"[""दर्पण्"",""दर्पन"",""दर्पण"",""दरह्पण"",""दर्पणह"",""दर्पं"",""दर्पण""]","[""add_halant"",""ण→न"",""insert_consonant"",""suffix_addition"",""ण→ं"",""consonant_cluster""]","[""halant_error"",""retroflex_error""]","[""p→p"",""ɳ→n"",""d→d""]","[""retroflex_loss"",""consonant_insertion"",""nasal_confusion""]"
दर्शन,दर्,दर्श,दर्शन,दर्शन,दर्शन,दर्शन,द+र्+श+न,"[""दर्शन्"",""दर्शन"",""दर्शान"",""दर्शन"",""दर्ह्शन"",""दर्शनह"",""दर्शण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_elongation""]","[""halant_error"",""retroflex_error""]","[""ʃ→ʃ"",""n→ɳ"",""a→aː""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_elongation""]"
दलान,दल,दला,दलान,दलान,दलान,दलान,द+ल+आ+न,"[""दलान्"",""दलान"",""दलान"",""दलहान"",""दलानह"",""दलाण"",""दलान""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""न→ण"",""vowel_repeat""]","[""halant_error"",""lateral_confusion""]","[""a→aː"",""l→l"",""n→ɳ""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
दियालो,दि,दिय,दिया,दियाल,दियालो,दियालो,द+इ+य+आ+ल+ओ,"[""दियालो्"",""दियालो"",""दियालोह"",""दियालो"",""दियाहलो"",""दियालोह"",""दियाळो""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""ल→ळ"",""vowel_repeat""]","[""halant_error"",""vowel_length""]","[""i→i"",""a→aː"",""l→ɭ""]","[""lateral_confusion"",""consonant_insertion"",""vowel_repetition""]"
दिल,दि,दिल,दिल,दिल,दिल,दिल,द+इ+ल,"[""दिल्"",""दिल"",""दील"",""दिल"",""दिहल"",""दिलह"",""दिळ""]","[""add_halant"",""इ→ई"",""insert_consonant"",""suffix_addition"",""ल→ळ"",""vowel_length""]","[""halant_error"",""vowel_insertion""]","[""i→iː"",""l→ɭ"",""d→d""]","[""vowel_length_errors"",""lateral_confusion"",""epenthesis""]"
दिवस,दि,दिव,दिवस,दिवस,दिवस,दिवस,द+इ+व+स,"[""दिवस्"",""दिवस"",""दिवास"",""दिवस"",""दिवहस"",""दिवसह"",""दिवस""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""vowel_elongation""]","[""halant_error"",""consonant_insertion""]","[""i→i"",""ʋ→ʋ"",""s→s""]","[""consonant_insertion"",""epenthesis"",""vowel_elongation""]"
दिवा,दि,दिवा,दिवा,दिवा,दिवा,दिवा,द+इ+व+आ,"[""दिवा्"",""दिवा"",""दिवाह"",""दिवा"",""दिवा"",""दिवाह"",""दिवा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat"",""consonant_repeat""]","[""halant_error"",""consonant_insertion""]","[""i→i"",""ʋ→ʋ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
दीक्षा,दी,दीक्,दीक्ष,दीक्षा,दीक्षा,दीक्षा,द+ई+क्+ष+आ,"[""दीक्षा्"",""दीक्षा"",""दीक्षाह"",""दीक्षा"",""दीक्षा"",""दीक्षाह"",""दीक्षा""]","[""add_halant"",""add_consonant"",""suffix_addition"",""consonant_swap"",""vowel_repeat"",""consonant_repeat""]","[""halant_error"",""consonant_insertion""]","[""iː→iː"",""kʃ→kʃ"",""a→aː""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
दीप,दी,दीप,दीप,दीप,दीप,दीप,द+ई+प,"[""दीप्"",""दीप"",""दीप"",""दीहप"",""दीपह"",""दीप"",""दीप""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_swap"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""iː→iː"",""p→p"",""d→d""]","[""consonant_insertion"",""epenthesis"",""vowel_repetition""]"
दोभान,दो,दोभ,दोभा,दोभान,दोभान,दोभान,द+ओ+भ+आ+न,"[""दोभान्"",""दोभान"",""दोभान"",""दोभाहान"",""दोभानह"",""दोभाण"",""दोभान""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""न→ण"",""vowel_repeat""]","[""halant_error"",""consonant_cluster""]","[""o→o"",""bʱ→bʱ"",""n→ɳ""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_repetition""]"
द्रव्य,द्रव्,द्रव्य,द्रव्य,द्रव्य,द्रव्य,द्रव्य,द्+र+व्+य,"[""द्रव्य्"",""द्रव्य"",""द्रव्य"",""द्रव्ह्य"",""द्रव्यह"",""द्रव्य"",""द्रव्य""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_cluster"",""vowel_repeat""]","[""halant_error"",""retroflex_error""]","[""ɾ→ɾ"",""ʋ→ʋ"",""j→j""]","[""cluster_errors"",""consonant_insertion"",""vowel_repetition""]"
धन,धन,धन,धन,धन,धन,धन,ध+न,"[""धन्"",""धन"",""धान"",""धन"",""धहन"",""धनह"",""धण""]","[""add_halant"",""add_vowel"",""insert_consonant"",""suffix_addition"",""न→ण"",""vowel_elongation""]","[""halant_error"",""sibilant_confusion""]","[""n→ɳ"",""a→aː"",""dʱ→dʱ""]","[""retroflex_substitution"",""consonant_insertion"",""vowel_elongation""]"
धनेश,धन,धने,धनेश,धनेश,धनेश,धनेश,ध+न+ए+श,"[""धनेश्"",""धनेश"",""धनेश"",""धनेहश"",""धनेशह"",""धनेश"",""धनेष""]","[""add_halant"",""insert_consonant"",""suffix_addition"",""consonant_swap"",""श→ष"",""consonant_cluster""]","[""halant_error"",""consonant_cluster""]","[""e→e"",""ʃ→ʂ"",""n→n""]","[""sibilant_confusion"",""consonant_insertion"",""cluster_errors""]"
धैर्य,धै,धैर्,धैर्य,धैर्य,धैर्य,धैर्य,ध+ऐ+र्+य,"[""धैर्य्"",""धैर्य"",""धैर्य"",""धैर्ह्य"",""धैर्यह"",""धैर्य"",""धैर्य""]","[""add_halant"",""add_consonant"",""suffix_addition"",""insert_consonant"",""consonant_cluster"",""vowel_repeat""]","[""halant_error"",""vowel_insertion""]","[""ɛ→ɛ"",""ɾ→ɾ"",""j→j""]","[""cluster_errors"",""consonant_insertion"",""vowel_repetition""]"
